,SFC,OPERATION,Unique concatenate(DESCRIPTION),Unique concatenate(ITEM_GROUP),Unique count(DESCRIPTION),ITEM_NO,QTY,ROUTER,STEP_ID,RESRCE,WORK_CENTER,QTY_STARTED,QTY_COMPLETED,QTY_DONE,QTY_SCRAPPED,QTY_NON_CONFORMED,ELAPSED_TIME,ELAPSED_QUEUE_TIME,PREVIOUS_RESOURCE_BO,SFC_DONE,SHOP_ORDER_BO,DATE_TIME,ITEM_DESCRIPTION,ITEM_TYPE,OPERATION_DESCRIPTION,TYPE,SPECIAL_INSTRUCTION,RESOURCE_DESCRIPTION,SETUP_STATE,SETUP_DESCRIPTION,WORKCENTER_DESCRIPTION,WC_CATEGORY,WC_TYPE,SHOP_ORDER,QTY_ORDERED,QTY_RELEASED,QTY_DONE_SO,CUSTOMER,TRANSFER_SITE,PROCESSING_TIME_SECS,WAITING_TIME_SECS,DESCRIPTION,case:concept:name,concept:name,org:resource,time:timestamp
0,84690734,A011350,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,10,4535,A010204,1,1,0,0,0,4039,2000,,False,"ShopOrderBO:0001,60840244",11-05-2020 17:10:54,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Ventil verschrauben,N,,Ventilmontage Gaszähler AP 4,S,,Ventilmontage,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.039,2.0,Monti2 Ve,A010204,A011350Ventil verschrauben,4535,11-05-2020 17:10:54
1,84690734,A011900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,30,3862,A0102,1,1,0,0,0,4,210734,"ResourceBO:0001,4536",False,"ShopOrderBO:0001,60840244",11-05-2020 17:10:58,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Messwerk einsetzen,N,,Station 4.01.01 Ventilm. Handauflagepl.,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.004,210.734,Monti2 Ve,A0102,A011900Messwerk einsetzen,3862,11-05-2020 17:10:58
2,84690734,A012000,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,40,3629,A010205,1,1,0,0,0,8802,92000,"ResourceBO:0001,3862",False,"ShopOrderBO:0001,60840244",11-05-2020 17:10:58,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Oberteil dosieren,N,,Station 3.07 Dosieren Oberteil,S,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,8.802,92.0,Monti2 Ve,A010205,A012000Oberteil dosieren,3629,11-05-2020 17:10:58
3,84690734,A012200,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,50,3630,A010205,1,1,0,0,0,4147,4000,"ResourceBO:0001,3629",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:06,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Unterteil aufsetzen,N,,Station 3.08 Unterteil aufsetzen,O,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.147,4.0,Monti2 Ve,A010205,A012200Unterteil aufsetzen,3630,11-05-2020 17:11:06
4,84690734,A012300,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,60,3631,A010206,1,1,0,0,0,7782,14000,"ResourceBO:0001,3630",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:10,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Falz auflegen,N,,Station 3.09 Falz auflegen,O,,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,7.782,14.0,Monti2 Ve,A010206,A012300Falz auflegen,3631,11-05-2020 17:11:10
5,84690734,A012500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,70,3760,A010206,1,1,0,0,0,13318,19000,"ResourceBO:0001,3631",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:17,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler vorbördeln,N,,Station 3.11 Vorbördeln Nr. 2,O, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,13.318,19.0,Monti2 Ve,A010206,A012500Zähler vorbördeln,3760,11-05-2020 17:11:17
6,84690734,A012600,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,80,3864,A010206,1,1,0,0,0,9772,4000,"ResourceBO:0001,3760",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:30,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler fertigbördeln,N,,Station 3.11 Fertigbördeln Nr. 2,S, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.772,4.0,Monti2 Ve,A010206,A012600Zähler fertigbördeln,3864,11-05-2020 17:11:30
7,84690734,A012800,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,90,3946,A010207,1,1,0,0,0,18723,33000,"ResourceBO:0001,3864",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:39,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler dichtheitsprüfen,N,,Prüfkammer 12,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,18.723,33.0,Monti2 Ve,A010207,A012800Zähler dichtheitsprüfen,3946,11-05-2020 17:11:39
8,84690734,A012850,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,100,3865,A010207,1,1,0,0,0,4,44433,"ResourceBO:0001,3946",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:57,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Etikett aufbringen (oben),N,,Station 5.07 Etikettierung Nr. 2,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,0.004,44.433,Monti2 Ve,A010207,A012850Etikett aufbringen (oben),3865,11-05-2020 17:11:57
9,84690734,A012900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,110,5200,A010208,1,1,0,0,0,44837,43000,"ResourceBO:0001,3865",False,"ShopOrderBO:0001,60840244",11-05-2020 17:11:57,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,ATEX-Prüfung,N,,Automatische ATEX-Prüfung Monti 2,S,,Atexprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,44.836999999999996,43.0,Monti2 Ve,A010208,A012900ATEX-Prüfung,5200,11-05-2020 17:11:57
